metric_or_field_id,display_name,catalog_group,state_group,primary_embedding_target,recommended_raw_table,recommended_feature_table,recommended_serving_table,candidate_supervised_heads,model_component,mapped_models
msp.sla_reporting_qbr.evidence_complete_rate.rolling_90d,sla reporting qbr evidence complete rate,domain_operational_metric,domain_state,D_MSP_DOCUMENTATION_CLOSEOUT,fact_artifact_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),documentation_acceptance | closeout_rejection_risk | auditability_score,Domain Expert Bank + Universal Overlay,Acceptance Rate Aggregator; Documentation Failure Model; Domain Expert Bank; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
msp.sla_reporting_qbr.rework_rate.job_level,sla reporting qbr rework rate,domain_operational_metric,domain_state,D_MSP_DOCUMENTATION_CLOSEOUT,fact_artifact_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),documentation_acceptance | closeout_rejection_risk | auditability_score,Domain Expert Bank + Universal Overlay,Acceptance Rate Aggregator; Documentation Failure Model; Domain Expert Bank; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
msp.sla_reporting_qbr.rework_rate.rolling_90d,sla reporting qbr rework rate,domain_operational_metric,domain_state,D_MSP_DOCUMENTATION_CLOSEOUT,fact_artifact_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),documentation_acceptance | closeout_rejection_risk | auditability_score,Domain Expert Bank + Universal Overlay,Acceptance Rate Aggregator; Documentation Failure Model; Domain Expert Bank; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
msp.vendor_change_coordination.execution_count.job_level,vendor change coordination execution count,domain_operational_metric,domain_state,D_MSP_GOVERNANCE_COMPLIANCE,fact_runbook_step_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),policy_compliance | exception_risk | regulated_job_fit,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
msp.vendor_change_coordination.execution_count.rolling_90d,vendor change coordination execution count,domain_operational_metric,domain_state,D_MSP_GOVERNANCE_COMPLIANCE,fact_runbook_step_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),policy_compliance | exception_risk | regulated_job_fit,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
msp.vendor_change_coordination.avg_duration_min.job_level,vendor change coordination avg duration min,domain_operational_metric,domain_state,D_MSP_GOVERNANCE_COMPLIANCE,fact_runbook_step_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),policy_compliance | exception_risk | regulated_job_fit,Domain Expert Bank + Universal Overlay,Domain Expert Bank; Duration Overrun Predictor; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
msp.vendor_change_coordination.avg_duration_min.rolling_90d,vendor change coordination avg duration min,domain_operational_metric,domain_state,D_MSP_GOVERNANCE_COMPLIANCE,fact_runbook_step_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),policy_compliance | exception_risk | regulated_job_fit,Domain Expert Bank + Universal Overlay,Domain Expert Bank; Duration Overrun Predictor; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
msp.vendor_change_coordination.on_plan_rate.job_level,vendor change coordination on plan rate,domain_operational_metric,domain_state,D_MSP_GOVERNANCE_COMPLIANCE,fact_runbook_step_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),policy_compliance | exception_risk | regulated_job_fit,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
msp.vendor_change_coordination.on_plan_rate.rolling_90d,vendor change coordination on plan rate,domain_operational_metric,domain_state,D_MSP_GOVERNANCE_COMPLIANCE,fact_runbook_step_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),policy_compliance | exception_risk | regulated_job_fit,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
msp.vendor_change_coordination.first_pass_rate.job_level,vendor change coordination first pass rate,domain_operational_metric,domain_state,D_MSP_GOVERNANCE_COMPLIANCE,fact_runbook_step_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),policy_compliance | exception_risk | regulated_job_fit,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank; Universal State Encoder
msp.vendor_change_coordination.first_pass_rate.rolling_90d,vendor change coordination first pass rate,domain_operational_metric,domain_state,D_MSP_GOVERNANCE_COMPLIANCE,fact_runbook_step_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),policy_compliance | exception_risk | regulated_job_fit,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank; Universal State Encoder
msp.vendor_change_coordination.defect_or_exception_rate.job_level,vendor change coordination defect or exception rate,domain_operational_metric,domain_state,D_MSP_GOVERNANCE_COMPLIANCE,fact_runbook_step_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),policy_compliance | exception_risk | regulated_job_fit,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
msp.vendor_change_coordination.defect_or_exception_rate.rolling_90d,vendor change coordination defect or exception rate,domain_operational_metric,domain_state,D_MSP_GOVERNANCE_COMPLIANCE,fact_runbook_step_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),policy_compliance | exception_risk | regulated_job_fit,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
msp.vendor_change_coordination.evidence_complete_rate.job_level,vendor change coordination evidence complete rate,domain_operational_metric,domain_state,D_MSP_GOVERNANCE_COMPLIANCE,fact_runbook_step_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),policy_compliance | exception_risk | regulated_job_fit,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
msp.vendor_change_coordination.evidence_complete_rate.rolling_90d,vendor change coordination evidence complete rate,domain_operational_metric,domain_state,D_MSP_GOVERNANCE_COMPLIANCE,fact_runbook_step_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),policy_compliance | exception_risk | regulated_job_fit,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
msp.vendor_change_coordination.rework_rate.job_level,vendor change coordination rework rate,domain_operational_metric,domain_state,D_MSP_GOVERNANCE_COMPLIANCE,fact_runbook_step_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),policy_compliance | exception_risk | regulated_job_fit,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
msp.vendor_change_coordination.rework_rate.rolling_90d,vendor change coordination rework rate,domain_operational_metric,domain_state,D_MSP_GOVERNANCE_COMPLIANCE,fact_runbook_step_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),policy_compliance | exception_risk | regulated_job_fit,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
alm.asset_onboarding_cmdb.execution_count.job_level,asset onboarding cmdb execution count,domain_operational_metric,domain_state,D_ALM_SCOPE_READINESS,fact_runbook_step_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),scope_match | start_readiness | scope_deviation_risk,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
alm.asset_onboarding_cmdb.execution_count.rolling_90d,asset onboarding cmdb execution count,domain_operational_metric,domain_state,D_ALM_SCOPE_READINESS,fact_runbook_step_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),scope_match | start_readiness | scope_deviation_risk,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
alm.asset_onboarding_cmdb.avg_duration_min.job_level,asset onboarding cmdb avg duration min,domain_operational_metric,domain_state,D_ALM_SCOPE_READINESS,fact_runbook_step_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),scope_match | start_readiness | scope_deviation_risk,Domain Expert Bank + Universal Overlay,Domain Expert Bank; Duration Overrun Predictor; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
alm.asset_onboarding_cmdb.avg_duration_min.rolling_90d,asset onboarding cmdb avg duration min,domain_operational_metric,domain_state,D_ALM_SCOPE_READINESS,fact_runbook_step_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),scope_match | start_readiness | scope_deviation_risk,Domain Expert Bank + Universal Overlay,Domain Expert Bank; Duration Overrun Predictor; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
alm.asset_onboarding_cmdb.on_plan_rate.job_level,asset onboarding cmdb on plan rate,domain_operational_metric,domain_state,D_ALM_SCOPE_READINESS,fact_runbook_step_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),scope_match | start_readiness | scope_deviation_risk,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
alm.asset_onboarding_cmdb.on_plan_rate.rolling_90d,asset onboarding cmdb on plan rate,domain_operational_metric,domain_state,D_ALM_SCOPE_READINESS,fact_runbook_step_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),scope_match | start_readiness | scope_deviation_risk,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
alm.asset_onboarding_cmdb.first_pass_rate.job_level,asset onboarding cmdb first pass rate,domain_operational_metric,domain_state,D_ALM_SCOPE_READINESS,fact_runbook_step_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),scope_match | start_readiness | scope_deviation_risk,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank; Universal State Encoder
alm.asset_onboarding_cmdb.first_pass_rate.rolling_90d,asset onboarding cmdb first pass rate,domain_operational_metric,domain_state,D_ALM_SCOPE_READINESS,fact_runbook_step_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),scope_match | start_readiness | scope_deviation_risk,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank; Universal State Encoder
alm.asset_onboarding_cmdb.defect_or_exception_rate.job_level,asset onboarding cmdb defect or exception rate,domain_operational_metric,domain_state,D_ALM_SCOPE_READINESS,fact_runbook_step_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),scope_match | start_readiness | scope_deviation_risk,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
alm.asset_onboarding_cmdb.defect_or_exception_rate.rolling_90d,asset onboarding cmdb defect or exception rate,domain_operational_metric,domain_state,D_ALM_SCOPE_READINESS,fact_runbook_step_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),scope_match | start_readiness | scope_deviation_risk,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
alm.asset_onboarding_cmdb.evidence_complete_rate.job_level,asset onboarding cmdb evidence complete rate,domain_operational_metric,domain_state,D_ALM_SCOPE_READINESS,fact_runbook_step_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),scope_match | start_readiness | scope_deviation_risk,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
alm.asset_onboarding_cmdb.evidence_complete_rate.rolling_90d,asset onboarding cmdb evidence complete rate,domain_operational_metric,domain_state,D_ALM_SCOPE_READINESS,fact_runbook_step_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),scope_match | start_readiness | scope_deviation_risk,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
alm.asset_onboarding_cmdb.rework_rate.job_level,asset onboarding cmdb rework rate,domain_operational_metric,domain_state,D_ALM_SCOPE_READINESS,fact_runbook_step_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),scope_match | start_readiness | scope_deviation_risk,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
alm.asset_onboarding_cmdb.rework_rate.rolling_90d,asset onboarding cmdb rework rate,domain_operational_metric,domain_state,D_ALM_SCOPE_READINESS,fact_runbook_step_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),scope_match | start_readiness | scope_deviation_risk,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
alm.lifecycle_state_updates.execution_count.job_level,lifecycle state updates execution count,domain_operational_metric,domain_state,D_ALM_EXECUTION,fact_runbook_step_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),domain_step_success | duration_overrun_risk | redispatch_risk,Domain Expert Bank + Universal Overlay,Domain Expert Bank; Duration Overrun Predictor; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
alm.lifecycle_state_updates.execution_count.rolling_90d,lifecycle state updates execution count,domain_operational_metric,domain_state,D_ALM_EXECUTION,fact_runbook_step_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),domain_step_success | duration_overrun_risk | redispatch_risk,Domain Expert Bank + Universal Overlay,Domain Expert Bank; Duration Overrun Predictor; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
alm.lifecycle_state_updates.avg_duration_min.job_level,lifecycle state updates avg duration min,domain_operational_metric,domain_state,D_ALM_EXECUTION,fact_runbook_step_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),domain_step_success | duration_overrun_risk | redispatch_risk,Domain Expert Bank + Universal Overlay,Domain Expert Bank; Duration Overrun Predictor; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
alm.lifecycle_state_updates.avg_duration_min.rolling_90d,lifecycle state updates avg duration min,domain_operational_metric,domain_state,D_ALM_EXECUTION,fact_runbook_step_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),domain_step_success | duration_overrun_risk | redispatch_risk,Domain Expert Bank + Universal Overlay,Domain Expert Bank; Duration Overrun Predictor; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
alm.lifecycle_state_updates.on_plan_rate.job_level,lifecycle state updates on plan rate,domain_operational_metric,domain_state,D_ALM_EXECUTION,fact_runbook_step_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),domain_step_success | duration_overrun_risk | redispatch_risk,Domain Expert Bank + Universal Overlay,Domain Expert Bank; Duration Overrun Predictor; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
alm.lifecycle_state_updates.on_plan_rate.rolling_90d,lifecycle state updates on plan rate,domain_operational_metric,domain_state,D_ALM_EXECUTION,fact_runbook_step_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),domain_step_success | duration_overrun_risk | redispatch_risk,Domain Expert Bank + Universal Overlay,Domain Expert Bank; Duration Overrun Predictor; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
alm.lifecycle_state_updates.first_pass_rate.job_level,lifecycle state updates first pass rate,domain_operational_metric,domain_state,D_ALM_EXECUTION,fact_runbook_step_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),domain_step_success | duration_overrun_risk | redispatch_risk,Domain Expert Bank + Universal Overlay,Domain Expert Bank; Duration Overrun Predictor; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank; Universal State Encoder
alm.lifecycle_state_updates.first_pass_rate.rolling_90d,lifecycle state updates first pass rate,domain_operational_metric,domain_state,D_ALM_EXECUTION,fact_runbook_step_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),domain_step_success | duration_overrun_risk | redispatch_risk,Domain Expert Bank + Universal Overlay,Domain Expert Bank; Duration Overrun Predictor; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank; Universal State Encoder
alm.lifecycle_state_updates.defect_or_exception_rate.job_level,lifecycle state updates defect or exception rate,domain_operational_metric,domain_state,D_ALM_EXECUTION,fact_runbook_step_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),domain_step_success | duration_overrun_risk | redispatch_risk,Domain Expert Bank + Universal Overlay,Domain Expert Bank; Duration Overrun Predictor; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
alm.lifecycle_state_updates.defect_or_exception_rate.rolling_90d,lifecycle state updates defect or exception rate,domain_operational_metric,domain_state,D_ALM_EXECUTION,fact_runbook_step_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),domain_step_success | duration_overrun_risk | redispatch_risk,Domain Expert Bank + Universal Overlay,Domain Expert Bank; Duration Overrun Predictor; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
alm.lifecycle_state_updates.evidence_complete_rate.job_level,lifecycle state updates evidence complete rate,domain_operational_metric,domain_state,D_ALM_EXECUTION,fact_runbook_step_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),domain_step_success | duration_overrun_risk | redispatch_risk,Domain Expert Bank + Universal Overlay,Domain Expert Bank; Duration Overrun Predictor; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
alm.lifecycle_state_updates.evidence_complete_rate.rolling_90d,lifecycle state updates evidence complete rate,domain_operational_metric,domain_state,D_ALM_EXECUTION,fact_runbook_step_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),domain_step_success | duration_overrun_risk | redispatch_risk,Domain Expert Bank + Universal Overlay,Domain Expert Bank; Duration Overrun Predictor; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
alm.lifecycle_state_updates.rework_rate.job_level,lifecycle state updates rework rate,domain_operational_metric,domain_state,D_ALM_EXECUTION,fact_runbook_step_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),domain_step_success | duration_overrun_risk | redispatch_risk,Domain Expert Bank + Universal Overlay,Domain Expert Bank; Duration Overrun Predictor; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
alm.lifecycle_state_updates.rework_rate.rolling_90d,lifecycle state updates rework rate,domain_operational_metric,domain_state,D_ALM_EXECUTION,fact_runbook_step_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),domain_step_success | duration_overrun_risk | redispatch_risk,Domain Expert Bank + Universal Overlay,Domain Expert Bank; Duration Overrun Predictor; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
alm.requirements_work_mgmt.execution_count.job_level,requirements work mgmt execution count,domain_operational_metric,domain_state,D_ALM_GOVERNANCE_COMPLIANCE,fact_runbook_step_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),policy_compliance | exception_risk | regulated_job_fit,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
alm.requirements_work_mgmt.execution_count.rolling_90d,requirements work mgmt execution count,domain_operational_metric,domain_state,D_ALM_GOVERNANCE_COMPLIANCE,fact_runbook_step_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),policy_compliance | exception_risk | regulated_job_fit,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
alm.requirements_work_mgmt.avg_duration_min.job_level,requirements work mgmt avg duration min,domain_operational_metric,domain_state,D_ALM_GOVERNANCE_COMPLIANCE,fact_runbook_step_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),policy_compliance | exception_risk | regulated_job_fit,Domain Expert Bank + Universal Overlay,Domain Expert Bank; Duration Overrun Predictor; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
alm.requirements_work_mgmt.avg_duration_min.rolling_90d,requirements work mgmt avg duration min,domain_operational_metric,domain_state,D_ALM_GOVERNANCE_COMPLIANCE,fact_runbook_step_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),policy_compliance | exception_risk | regulated_job_fit,Domain Expert Bank + Universal Overlay,Domain Expert Bank; Duration Overrun Predictor; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
alm.requirements_work_mgmt.on_plan_rate.job_level,requirements work mgmt on plan rate,domain_operational_metric,domain_state,D_ALM_GOVERNANCE_COMPLIANCE,fact_runbook_step_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),policy_compliance | exception_risk | regulated_job_fit,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
alm.requirements_work_mgmt.on_plan_rate.rolling_90d,requirements work mgmt on plan rate,domain_operational_metric,domain_state,D_ALM_GOVERNANCE_COMPLIANCE,fact_runbook_step_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),policy_compliance | exception_risk | regulated_job_fit,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
alm.requirements_work_mgmt.first_pass_rate.job_level,requirements work mgmt first pass rate,domain_operational_metric,domain_state,D_ALM_GOVERNANCE_COMPLIANCE,fact_runbook_step_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),policy_compliance | exception_risk | regulated_job_fit,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank; Universal State Encoder
alm.requirements_work_mgmt.first_pass_rate.rolling_90d,requirements work mgmt first pass rate,domain_operational_metric,domain_state,D_ALM_GOVERNANCE_COMPLIANCE,fact_runbook_step_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),policy_compliance | exception_risk | regulated_job_fit,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank; Universal State Encoder
alm.requirements_work_mgmt.defect_or_exception_rate.job_level,requirements work mgmt defect or exception rate,domain_operational_metric,domain_state,D_ALM_GOVERNANCE_COMPLIANCE,fact_runbook_step_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),policy_compliance | exception_risk | regulated_job_fit,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
alm.requirements_work_mgmt.defect_or_exception_rate.rolling_90d,requirements work mgmt defect or exception rate,domain_operational_metric,domain_state,D_ALM_GOVERNANCE_COMPLIANCE,fact_runbook_step_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),policy_compliance | exception_risk | regulated_job_fit,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
alm.requirements_work_mgmt.evidence_complete_rate.job_level,requirements work mgmt evidence complete rate,domain_operational_metric,domain_state,D_ALM_GOVERNANCE_COMPLIANCE,fact_runbook_step_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),policy_compliance | exception_risk | regulated_job_fit,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
alm.requirements_work_mgmt.evidence_complete_rate.rolling_90d,requirements work mgmt evidence complete rate,domain_operational_metric,domain_state,D_ALM_GOVERNANCE_COMPLIANCE,fact_runbook_step_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),policy_compliance | exception_risk | regulated_job_fit,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
alm.requirements_work_mgmt.rework_rate.job_level,requirements work mgmt rework rate,domain_operational_metric,domain_state,D_ALM_GOVERNANCE_COMPLIANCE,fact_runbook_step_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),policy_compliance | exception_risk | regulated_job_fit,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
alm.requirements_work_mgmt.rework_rate.rolling_90d,requirements work mgmt rework rate,domain_operational_metric,domain_state,D_ALM_GOVERNANCE_COMPLIANCE,fact_runbook_step_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),policy_compliance | exception_risk | regulated_job_fit,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
